Section,id,req_id,status,class_def,method,Module,branch,Action Item,bug_id_cl,,description
,5.3,A-0-3,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.3,A-0-4,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.3,C-1-1,Merged,android.media.cts.AdaptivePlaybackTest,*._adaptiveReconfigDrc(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,689435,,
,5.3,C-2-1,Not testable,,,,,Verified by FO,b/73892224,,
,5.3,C-2-2,Not testable,,,,,Verified by FO,b/73892224,,
,5.3,C-2-3,Not testable,,,,,Verified by FO,b/73892224,,
,5.3,H-0-1,Merged,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest","testRequiredMediaCodecList()
testCodecBasicH264",CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.3,H-0-2,Merged,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest","testRequiredMediaCodecList()
testCodecBasicHEVC",CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.3,H-0-3,Merged,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest","testRequiredMediaCodecList()
testCodecBasicMpeg4",CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.3,H-0-4,Merged,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest","testRequiredMediaCodecList()
testCodecBasicVP8",CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.3,H-0-5,Merged,"android.media.cts.MediaCodecListTest
android.media.cts.DecoderTest","testRequiredMediaCodecList()
testCodecBasicVP9",CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.3,T-0-1,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.3,T-0-2,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.3,T-0-3,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.3,T-0-4,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.3,T-0-5,Merged,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,oreo-cts-dev,Verified by FO,602033,,
,5.6,C-1-1,Not testable,,,,,Don't need verification from FO,,,
,5.7,C-1-1,Merged,android.media.cts.StreamingMediaPlayerTest,public void .*,CtsMediaTestCases,oreo-cts-dev,Verified by FO,740822,,
,5.7,C-1-2,Merged,android.media.cts.StreamingMediaPlayerTest,public void .*,CtsMediaTestCases,oreo-cts-dev,Verified by FO,740822,,
,5.7,C-1-3,Merged,android.media.cts.StreamingMediaPlayerTest,public void .*,CtsMediaTestCases,oreo-cts-dev,Verified by FO,740822,,"RTSP disabled because flaky network condition"""
,5.8,C-1-1,Not testable,,,,,Verified by FO,b/76153374,,
,5.8,C-2-1,Not testable,,,,,Verified by FO,b/76153375,,
,5.8,C-3-1,Not testable,,,,,Verified by FO,b/76153376,,
,5.8,T-1-1,Not testable,,,,,Verified by FO,b/76153374,,
,5.8,T-2-1,Not testable,,,,,Verified by FO,b/76153374,,
,5.9,C-1-1,Not testable,,,,,Verified by FO,http://b/76036084,,Completer MIDI test involves additional equipments   https://source.android.com/devices/audio/midi_test
,5.9,C-1-2,Merged,android.midi.cts.MidiEchoTest,"testEchoSmallMessage()
testEchoMultipleMessages()
testEchoBadBehavior()",CtsMidiTestCases,oreo-mr1-cts-dev,Verified by FO,794100,,
,6.1,C-0-2,Merged,android.dumpsys.cts.BatteryStatsDumpSysTest,,CtsDumpsysHostTestCases,oreo-mr1-cts-dev,Verified by FO,787610,,
,6.1,C-0-3,Merged,android.dumpsys.cts.BatteryStateDumpSysTest.,,CtsDumpsysHostTestCases,oreo-mr1-cts-dev,Verified by FO,787610,,
,6.1,C-0-4,Not Testable,,,,,Verified by FO,b/77912330,,
,6.1,C-0-5,Test Available,android.os.cts.UsbDebuggingTest,testUsbDebugging,CtsOSTestCases,,Verified by FO,http://b/77912330,,
,6.1,C-0-6,Not Testable,,,,,Verified by FO,http://b/77912330,,
,6.1,C-0-7,Not Testable,,,,,Verified by FO,http://b/77912330,,
,6.1,C-0-8,Merged,com.android.cts.monkey.*,.*,CtsMonkeyTestCases,oreo-mr1-cts-dev,Verified by FO,787610,,
,6.1,C-0-9,Merged,android.atrace.cts.AtraceHostTest,public void .*,CtsAtraceHostTestCases,,Verified by FO,787610,,Verifies atrace for  systrace 
,6.2,C-0-1,Merged,android.systemintents.cts.SystemIntentTest,testSystemIntents,CtsSystemIntentTestCases,oreo-mr1-cts-dev,Verified by FO,749874,,TestSystemIntents checks to see if there is an activity to resolve the intent
,6.2,C-0-2,Not Testable,,,,,,,,
,7,C-0-1,Not testable,,,,,Don't need verification from FO,,,
,7,C-0-2,Not testable,,,,,Don't need verification from FO,,,Generic requirement/ implicit coverage/Covered by CTS/CTS/GTS tests
,7,C-0-3,Not testable,,,,,Don't need verification from FO,,,Generic requirement/ implicit coverage/Covered by CTS/CTS/GTS tests
,7,C-0-4,Not testable,,,,,Don't need verification from FO,,,Generic requirement/ implicit coverage/Covered by CTS/CTS/GTS tests
,7,C-0-5,Not testable,,,,,Don't need verification from FO,,,
,7,C-0-6,Not testable,,,,,Don't need verification from FO,,,Generic requirement/ implicit coverage/Covered by CTS/CTS/GTS tests
,7,C-0-7,Merged,android.app.cts.SystemFeaturesTest,public void.*,CtsAppTestCases,oreo-mr1-cts-dev,Verified by FO,787610,,"SystemFeaturesTest cover this requirement not sure about the same ""buildfingerprint part""?"
,7.3,C-0-1,Merged,android.app.cts.SystemFeaturesTest,testSensorFeatures(),CtsAppTestCases,oreo-mr1-cts-dev,Verified by FO,764841,,
,7.3,C-0-2,Merged,android.app.cts.SystemFeaturesTest,testSensorFeatures(),CtsAppTestCases,oreo-mr1-cts-dev,Verified by FO,764841,,
,7.3,C-0-3,Merged,android.hardware.cts.SensorTest,"testRequestTriggerWithNonTriggerSensor()
testCancelTriggerWithNonTriggerSensor()
testRegisterWithTriggerSensor()",CtsSensorTestCases,oreo-mr1-cts-dev,Verified by FO,764841,,
,7.3,C-1-1,Merged,android.hardware.cts.SensorParameterRangeTest,checkSensorRangeAndFrequency(),CtsSensorTestCases,oreo-mr1-cts-dev,Verified by FO,764841,,
,7.3,C-1-2,Merged,android.hardware.cts.SingleSensorTests,"testAccelerometer_.*hz
testMagneticField_*hz",CtsSensorTestCases,oreo-mr1-cts-dev,Verified by FO,764841,,
,7.3,C-1-3,Merged,android.hardware.cts.SingleSensorTests,testAccelerometer_.*hz,CtsSensorTestCases,oreo-mr1-cts-dev,Verified by FO,764841,,
,7.3,C-1-7,Merged,android.hardware.cts.SingleSensorTests,"testMagneticField_.*hz
testGyroscope_.*hz
testPressure_.*hz",CtsSensorTestCases,oreo-mr1-cts-dev,Verified by FO,764841,,
,7.3,C-1-8,Merged,com.android.cts.verifier.sensors.DeviceSuspendTestActivity,,CtsVerifierSensorTestCases,oreo-mr1-cts-dev,Verified by FO,764841,,
,7.3,C-2-1,Merged,android.hardware.cts.SingleSensorTests,"testGravity1_hz
testGameRotationVector
testLinearAcceleration",CtsSensorTestCases,oreo-mr1-cts-dev,Verified by FO,764841,,
,7.5,C-1-1,Merged,android.app.cts.SystemFeaturesTest,testCameraFeatures(),CtsAppTestCases,oreo-cts-dev,Verified by FO,610871,,
,7.5,C-1-2,Merged,android.hardware.camera2.cts.StillCaptureTest,testAllocateBitmap(),CtsCameraTestCases,oreo-cts-dev,Verified by FO,610871,,
,8.1,H-0-2,Merged,android.ui.cts.ScrollingTest,testFullScrolling(),CtsUiDeviceTestCases,oreo-cts-dev,Verified by FO,648925,,
,8.1,H-0-3,Merged,android.taskswitching.control.cts.TaskSwitchingDeviceTest.java,testMeasureTaskSwitching(),CtsUiHostTestCases,oreo-cts-dev,Verified by FO,648925,,
,8.2,H-0-1,Merged,android.filesystem.cts.SequentialRWTest,testSingleSequentialWrite(),CtsFileSystemTestCases,oreo-mr1-cts-dev,Verified by FO,716644,,
,8.2,H-0-2,Merged,android.filesystem.cts.RandomRWTest,testRandomUpdate(),CtsFileSystemTestCases,oreo-mr1-cts-dev,Verified by FO,716644,,
,8.2,H-0-3,Merged,android.filesystem.cts.SequentialRWTest,testSingleSequentialRead(),CtsFileSystemTestCases,oreo-mr1-cts-dev,Verified by FO,716644,,
,8.2,H-0-4,Merged,android.filesystem.cts.RandomRWTest,testRandomRead(),CtsFileSystemTestCases,oreo-mr1-cts-dev,Verified by FO,716644,,
,8.2,T-0-1,Merged,android.filesystem.cts.SequentialRWTest,testSingleSequentialWrite(),CtsFileSystemTestCases,oreo-mr1-cts-dev,Verified by FO,716644,,"Sequential R/W test,RandomR/W test tests for section 8.2 of the CDD requirement but does not check for "
,8.2,T-0-2,Merged,android.filesystem.cts.RandomRWTest,testRandomUpdate(),CtsFileSystemTestCases,oreo-mr1-cts-dev,Verified by FO,660744,,"specific values mandated by the CDD for handheld, television, and watch devices"
,8.2,T-0-3,Merged,android.filesystem.cts.SequentialRWTest,testSingleSequentialRead(),CtsFileSystemTestCases,oreo-mr1-cts-dev,Verified by FO,660744,,
,8.2,T-0-4,Merged,android.filesystem.cts.RandomRWTest,testRandomRead(),CtsFileSystemTestCases,oreo-mr1-cts-dev,Verified by FO,660744,,
,8.3,A-0-1,Testable missing test,,,,,Verified by FO,http://b/77152494,,
,8.3,A-0-2,Test Available,"android.alarmmanager.cts.*
android.JobScheduler.cts.*
android.net.cts.*","android.alarmmanager.cts.*
android.JobScheduler.cts.*
android.net.cts.*","CtsAlarmManagerTestCases
CtsJobSchedulerTestCases
CtsNetTestCases",,,http://b/77152494,,
,8.3,C-1-1,Test Available,android.alarmmanager.cts.AppStandyTests,android.alarmmanager.cts.AppStandbyTest.*,"CtsAlarmManagerTestCases
CtsJobSchedulerTestCases
CtsNetTestCases",,,,,
,8.3,H-0-1,Merged,android.systemintents.ctsTestSystemIntents,testSystemIntents,CtsSystemIntentTestCases,,Verified by FO,b/76915946,,
,8.3,H-0-2,Test Available,"android.alarmmanager.cts.*
android.JobScheduler.cts.*
android.net.cts.*","android.alarmmanager.cts.*.*
android.JobScheduler.cts.*.*
android.net.cts.*.*","CtsNetTestCases
CtsJobSchedulerTestCases
CtsAlarmManagerTestCases",,,,,
,8.3,T-1-1,Manually Testable Missing Test,,,,,Verified by FO,http://b/77143742,,"This only verifies that the intent is handled
does not verify user affordance"
