Section	section_id	req_id	status	class_def	method	module	filename_line	Bug		
	9.10		Test Available	android.security.cts.KernelConfigTest	testConfigFsVerity()	CtsSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/security/src/android/security/cts/KernelConfigTest.java	
	9.10	C-0-3	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
	9.10	C-0-3	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
	9.10	C-0-3	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
	9.10	C-0-5	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
	9.10	C-0-3	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
	9.10	C-0-5	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
	9.10	C-0-3	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
	9.10	C-0-5	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
	9.10	C-0-3	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
	9.10	C-0-5	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
	9.10	C-0-3	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
	9.10	C-0-5	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
	9.10	C-0-3	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
	9.10	C-0-5	Test Available	android.appsecurity.cts.ApkVerityInstallTest		CtsAppSecurityHostTestCases	Comment unknown	Bug unknown	/home/gpoor/cts-12-source/cts/hostsidetests/appsecurity/src/android/appsecurity/cts/ApkVerityInstallTest.java	
