"Section"	"section_id"	"req_id"	"Test Availability"	"Annotation? "	"New Req for R?"	"New CTS for R?"	"class_def"	"method"	"module"	"Comment(internal) e.g. why a test is not possible "	"Comment (external) "	"New vs Updated(Q)"	"CTS Bug Id "	"CDD Bug Id"	"CDD CL"	"Area"	"Shortened"	"Test Level"	""	"external version"	""	""	""
""	"3.8.16"	"H-1-4"	"Test Available"	""	"Yes"	""	"android.controls.cts.CtsControlBuilderTest"	"testStatelessBuilder"	"CtsControlsDeviceTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.3"	"C-4-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.3.10"	"C-6-2"	"Test Available"	""	"Yes"	""	"com.android.cts.verifier.biometrics.BiometricStrongTests"	"testBiometricBoundEncryption"	"CtsHardwareTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.2.3.5"	"C-3-2"	"Test Available"	""	"Yes"	""	"android.nfc.cts.NfcPreferredPaymentTest"	"testAidsForPreferredPaymentService CtsNfcTestCase"	"CtsNfcTestCase"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""
""	"9.10"	"C-0-3"	"Test Available"	"Yes"	"Yes"	""	"android.security.cts.FileIntegrityManagerTest"	"testPlatformDebugCertificateNotTrusted()"	"CtsSecurityTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"3.8.16"	"H-2-1"	"Test Missing"	""	"Yes"	""	""	""	""	"Test seems to be missing searches do not find it"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"4"	"C-0-8"	"Test Available"	""	"Yes"	""	"android.incrementalinstall.cts.IncrementalInstallTest"	"testVersionUpdateAdbInstall"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.18. Contacts"	"3.18"	"C-1-4"	"Test Available"	"Yes"	"Yes"	"Yes"	"android.provider.cts.contacts.ContactsProvider2_AccountRemovalTest"	"testAccountRemoval_doesNotDeleteLocalAccountContacts()"	"CtsContactProviderTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"9.8.11"	"C-1-2"	"Test Available"	""	"Yes"	""	"com.android.cts.blob.BlobStoreManagerTest"	"testAllowSameSignatureAccess testAllowSameSignatureAccess_abandonedSession  testAllowPublicAccess testAllowPublicAccess_abandonedSession"	"CtsBlobStoreTestCases"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"7.3"	"C-3-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
