	9.11.3	C-0-3	Not testable		Yes		android.security.identity.cts.HkdfTest	testPreconditions()	CtsIdentityTestCases									
	9.16	C-1-4	Not testable		Yes		android.graphics.cts.PaintTest	Region()	CtsGraphicsTestCases									
	9.16	C-1-2	Test Available		Yes		android.graphics.cts.PaintTest	Shader()	CtsGraphicsTestCases									
9.16. Applciation Data Migration	9.16	C-1-1	Test Available		Yes		android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest	cannotKeepAndTruncateNewLines()	CtsCameraTestCases									
	9.16	C-1-5	Not testable		Yes													
	9.16	C-1-3	Test Available		Yes													
	9.5	C-1-3	Not testable		Yes		android.appsecurity.cts.ExternalStorageHostTest	testMultiUserStorageIsolated	CtsAppSecurityHostTestCases							Security	Security	2
	9.5	C-1-2	Not testable		Yes		android.graphics.cts.PaintTest	testSetShadowLayerXYZ()	CtsGraphicsTestCases									
9.8.10. Connectivity Bug Report	9.8.10	C-1-1	Test Available		Yes		android.carrierapi.cts.BugreportManagerTest	testAlphaPlusSetTargetColorSpace()	CtsCarrierApiTestCases									
	9.8.10	C-1-4	Test Available		Yes		android.carrierapi.cts.NetworkScanApiTest	testAlphaMaskPlusHardwareAnimated()	CtsCarrierApiTestCases									
	9.8.10	C-1-2	Test Available		Yes		android.graphics.cts.PaintTest	testLightingColorFilter()	CtsGraphicsTestCases									
	9.8.10	C-1-3	Test Available		Yes													
	9.8.11	C-1-2	Test Available		Yes		android.graphics.cts.PaintTest	testIsComplex()	CtsGraphicsTestCases									
9.8.11. Data blobs sharing	9.8.11	C-1-1	Test Available		Yes		com.android.cts.blob.BlobStoreManagerTest	preIsIgnored()	CtsBlobStoreTestCases									
9.8.9. Installed apps	9.8.9	C-0-1	Test Available		Yes		android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest	testGetDesiredWidth()	CtsCameraTestCases									
	9.9.3	C-1-14	Not testable		Yes													
9.9.4. Resume on Reboot	9.9.4	C-0-1	Test Available		Yes		android.graphics.cts.ANativeWindowTest	testNewInstanceInputStream()	CtsGraphicsTestCases									
