Section	section_id	req_id	Test Availability	Annotation?	New Req for S?	New CTS for S?	class_def	method	module	Comment(internal) e.g. why a test is not possible	Comment (external)	New vs Updated(Q)	CTS Bug Id	CDD Bug Id	CDD CL	Area	Shortened	Test Level		external version			
7.4.2.4  . Wi	7.4.2.4	C-1-5	Test Available		Yes		android.net.wifi.cts.WifiManagerTest	testPasspointCapability	CtsWifiTestCases														
7.4.2.4  . Wi	7.4.2.4	C-1-6	Test Available		Yes		android.net.wifi.passpoint.cts.PasspointConfigurationTest	testSetGetDecoratedIdentityPrefix	CtsWifiTestCases														
7.4.2.4  . Wi	7.4.2.4	C-1-7	Test Available		Yes		android.net.wifi.cts.WifiManagerTest	ProvisioningCallback	CtsWifiTestCases														
7.4.2.4  . Wi	7.4.2.4	C-1-8	Test Available		Yes		android.net.wifi.cts.WifiManagerTest	testAddOrUpdatePasspointConfiguration	CtsWifiTestCases														
7.4.2.4  . Wi	7.4.2.4	C-1-9	Test Available		Yes		android.net.wifi.passpoint.cts.PasspointConfigurationTest	testSetGetDecoratedIdentityPrefix	CtsWifiTestCases														
7.4.2.4  . Wi	7.4.2.4	C-3-1	Test Available		Yes		android.net.wifi.cts.WifiManagerTest	testAllowAutojoinPasspoint	CtsWifiTestCases														
7.4.2.5  . Wi	7.4.2.5	C-1-4	Manually Testable Missing Test		Yes					Only manually testable requires physical distance from wifi source.													
7.4.3  . Bluetooth	7.4.3	C-6-2	Test Available		Yes		com.android.cts.devicepolicy.DeviceOwnerTest	testBluetoothRestriction	CtsDevicePolicyManagerTestCases														
2.5.3 Software(Auto)	3	A-0-1	Not testable							The feature cannot be tested standalone						Non-phone Form Factors(Automotive)	Vertical	-1					
	3	A-0-3	Test Available				android.app.cts.UiModeManagerTest	testUiMode()	CtsAppTestCases							Framework (UI)	Framework	1					
	3	A-1-1																					
	3	A-1-2																					
2.4.3 Software-Watch	3	W-0-1	Not testable													Non-phone Form Factors(Watch)	Vertical	-1					
	3	W-0-2	Test Available				android.app.cts.UiModeManagerTest	testUiMode()	CtsAppTestCases							Framework (UI)	Framework	2					
3.1 Managed API Compatibility	3.1	C-0-1	Not testable													Framework(API compatibility)	Framework	-1					
	3.1	C-0-2	Not testable													Framework(API compatibility)	Framework	-1					
	3.1	C-0-3	Not testable													Framework(API compatibility)	Framework	-1					
	3.1	C-0-4	Not testable													Framework(API compatibility)	Framework	-1					
	3.1	C-0-5	Test Available				android.signature.cts.api.AnnotationTest	android.signature.cts.api.AnnotationTest.*	CtsSystemApiAnnotationTestCases			Updated in Q		122980592	6933982	Framework(API compatibility)	Framework	1					
	3.1	C-0-6	Test Available				android.signature.cts.api.*	android.signature.cts.api.*.*	CtsSingnatureTestCases			New in Q		122980592	6933982	Framework(API compatibility)	Framework	1					
	3.1	C-0-7	Test Available				com.android.cts.signedconfig.SignedConfigHostTest	public void.*	CtsSignedConfigHostTest			New in Q		122980592	6933982	Framework(API compatibility)	Framework	2					
	3.1.1	C-0-2																					
	3.1.1	C-0-3																					
3.1.1.Android Extensions	3.1.1.1	C-0-1	Test Available				android.os.ctsRequiredComponentTest	testExtServicesPresent() testSharedServicesPresent()	CtsOsTestCases							Framework(API compatibility)	Framework	2					
3.1.2 Android Library	3.1.2	C-0-1	Test Available				android.signature.cts.api.SignatureTest	android.signature.cts.api.SignatureTest.*	CtsApacheHttpLegacy27ApiSignatureTestCases							Framework(API compatibility)	Framework	2					
	3.1.2	C-0-2	Test Available				android.signature.cts.api.SignatureTest	android.signature.cts.api.SignatureTest.*	CtsApacheHttpLegacy27ApiSignatureTestCases							Framework(API compatibility)	Framework	1					
	3.10	H-0-1	Test Available				android.accessibilityservice.cts.*	public void*	CtsAccessibilityTestCases							Framework (a11y)	Framework	2					
	3.10	T-0-1	Test Available				android.accessibilityservice.cts.*	public void.*	CtsAccessibilityTestCases							Framework (a11y)	Framework	2					
	3.10	W-1-1	Test Available				android.accessibilityservice.cts.AccessibilityEndToEndTest	public void .*	CtsAccessibilityServiceTestCases							Framework (a11y)	Framework	1					
3.10 Accessibility	3.10.	C-1-1	Test Available				android.accessibilityservice.cts.*	public void .*	CtsAccessibilityServiceTestCases							Framework (a11y)	Framework	2					
