Section ,id,req_id,status,class_def,method,module,Comment,Bug
,7.3.3,A-1-1,Other (see comment),,,,From the bug looks like this is being downgraded,http://b/77152494
,7.3.4,A-1-1,Test Available,android.hardware.cts.SingleSensorTests,testGyroscope_100hz(),CtsSensorTestCases,,
,7.3.11,A-0-1,Test Available,android.car.cts.CarSensorManagerTest,testRequiredSensorForDrivingState,CtsCarTestCases,,http://b/77152494
,7.3.11.2,A-0-1,Test Available,android.car.cts.CarSensorManagerTest,testRequiredSensorForDrivingState,CtsCarTestCases,,http://b/77152494
,7.3.11.2,A-0-2,Test Missing,,,,,http://b/124132292
,7.3.11.4,A-0-1,Test Available,android.car.cts.CarSensorManagerTest,testRequiredSensorsForDrivingState,CtsCarTestCases,,
,7.3.11.5,A-0-1,Test Available,android.car.cts.CarSensorManagerTest,testMustSupportParkingBrake(),CtsCarTestCases,,
,7.4.3,A-0-1,Test Available,"android.bluetooth.cts.BasicAdapterTest
android.bluetooth.cts.BluetoothLeScanTest
android.bluetooth.cts.ScanRecordTest",public void.*,CtsBluetoothTestCases,,
,7.4.3,A-0-2,Test Missing,,,,,http://b/77152494
,7.6.1,A-0-1,Test Available,android.hardware.cts.LowRamDeviceTest,testMinimumDataPartitionSize,CtsHardwareTestCases,,
,7.6.1,A-1-1,Test Available,android.hardware.cts.LowRamDeviceTest,testMinimumMemory,CtsHardwareTestCases,,
,7.6.1,A-1-2,Test Available,android.hardware.cts.LowRamDeviceTest,testMinimumMemory,CtsHardwareTestCases,,
,7.6.1,A-1-3,Test Available,android.hardware.cts.LowRamDeviceTest,testMinimumMemory,CtsHardwareTestCases,,
,7.6.1,A-1-4,Test Available,android.hardware.cts.LowRamDeviceTest,testMinimumMemory,CtsHardwareTestCases,,
,7.6.1,A-2-1,Test Available,android.hardware.cts.LowRamDeviceTest,testMinimumMemory,CtsHardwareTestCases,,
,7.6.1,A-2-2,Test Available,android.hardware.cts.LowRamDeviceTest,testMinimumMemory,CtsHardwareTestCases,,
,7.6.1,A-2-3,Test Available,android.hardware.cts.LowRamDeviceTest,testMinimumMemory,CtsHardwareTestCases,,
,7.6.1,A-2-4,Test Available,android.hardware.cts.LowRamDeviceTest,testMinimumMemory,CtsHardwareTestCases,,
,7.8.1,A-0-1,Not testable,,,,"Change language to must declare android.h
ardware.microphone and add a test to System
FeaturesTest",
,7.8.2,A-0-2,Test Available,android.app.cts.SystemFeaturesTest,testAudioOutputFeature(),CtsAppTestCases,,http://b/77152494
2.5.2 MultiMedia (Automotive),5.1,A-0-1,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,,
,5.1,A-0-2,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,,
,5.1,A-0-3,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,,
,5.2,A-0-1,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,,
,5.2,A-0-2,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,,
,5.3,A-0-1,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,,
,5.3,A-0-2,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,,
,5.3,A-0-3,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,,
,5.3,A-0-4,Test Available,android.media.cts.MediaCodecListTest,testRequiredMediaCodecList(),CtsMediaTestCases,,
2.5.3 Software Automotive,3,A-0-1,Not testable,,,,The feature cannot be tested standalone,
,3,A-0-3,Test Available,android.app.cts.UiModeManagerTest,testUiMode(),CtsAppTestCases,,
,3.4.1,A-0-1,Test Available,android.webkit.cts.*,public void.*,CtsWebkitTestCases,,
,3.8.3,A-0-1,Test Available,,,,Notification.CarExtender APIs are tested. ,http://b/77152494
,3.8.4,A-1-1,Not testable,,,,,http://b/77152494
,3.8.4,A-1-1,Not testable,,,,,
,3.14,A-0-1,Not testable,,,,"Media APis are tested by most CTS/CTS-V and automotive
tests",
2.5.4 Performance and Power-Automotive,8.3,A-1-1,Manually Testable Missing Test,,,,,http://b/123045487
,8.3,A-1-2,Test Missing,,,,,http://b/123045487
,8.2,A-0-1,Test Missing,,,,,http://b/120863368
,8.4,A-0-1,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,,
,8.4,A-0-2,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,,
,8.4,A-0-3,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,testThreadCupTimeNanos(),CtsDumpSysHostTestCases,,
,8.4,A-0-4,Test Available,android.dumpsys.cts.BatteryStatsDumpSysTest,testBatteryStatsOutput(),CtsDumpSysHostTestCases,,
2.5.5 Security Model Automotive,9.5,A-1-1,Other (see comment),,,,This requirement is getting an oeverhaul,http://b/77152494
,9.9.2,A-1-1,Test Available,android.security.cts.EncryptionTest,testEncryption(),CtsSecurityTestCases,,
,9.14,A-0-1,Not testable,,,,This Doc,http://b/77152494
,9.14,A-0-2,Not testable,,,,This Doc,http://b/77152494
3.1 Managed API Compatibility,3.1,C-0-1,Other (see comment),,,,Covered by Most CTS and GTS tests.,
,3.1,C-0-2,Other (see comment),,,,Covered by Most CTS and GTS tests.,
,3.1,C-0-3,Other (see comment),,,,Covered by Most CTS and GTS tests.,
,3.1,C-0-4,Other (see comment),,,,Covered by Most CTS and GTS tests.,
,3.1,C-0-5,Test Available,android.signature.cts.api.AnnotationTest,android.signature.cts.api.AnnotationTest.*,CtsSystemApiAnnotationTestCases,,
