Section,section_id,req_id,Test Availability,Annotation? ,New Req for R?,New CTS for R?,class_def,method,module,Comment(internal) e.g. why a test is not possible ,Comment (external) ,New vs Updated(Q),CTS Bug Id ,CDD Bug Id,CDD CL,Area,Shortened,Test Level,,external version,,,full_key,key_as_number
,7.1.4.6,H-1-1,H-1-1,Test Available,,Yes,,android.graphics.cts.BitmapTest,testSetRotate(),CtsGraphicsTestCases,,,,,,,,,
,7.1.4.6,H-1-2,H-1-2,Test Available,,Yes,,android.graphics.cts.BitmapTest,setYUV2RGB(),CtsGraphicsTestCases,,,,,,,,,
,7.1.4.6,H-1-3,H-1-3,Test Available,,Yes,,android.graphics.cts.BitmapTest,obtainPath(),CtsGraphicsTestCases,,,,,,,,,
,7.1.4.6,H-1-4,H-1-4,Test Available,,Yes,,android.graphics.cts.BitmapTest,PixelFormat(),CtsGraphicsTestCases,,,,,,,,,
,7.2.3,C-3-1,C-3-1,Test Available,,Yes,,android.telephony.cts.CellInfoTest,testRequiredEglExtensions(),CtsTelephonyTestCases,,,,,,,,,
,7.2.4,C-3-2,C-3-2,,,Yes,,,,,,,,,,,,,
,7.2.4,C-3-3,C-3-3,Test Available,,Yes,,android.content.res.cts.ConfigTest,MockDrawable(),CtsContentTestCases,,,,,,,,,
,7.2.6.1,C-2-1,C-2-1,Test Available,,Yes,,android.appwidget.cts.AppWidgetTest,testBadUri(),CtsAppWidgetTestCases,,,,,,,,,
,7.3,C-1-6,C-1-6,Test Available,,Yes,,android.telephony.cts.CellInfoTest,testRequiredEglExtensions(),CtsTelephonyTestCases,,,,,,,,,
,7.3,C-1-7,C-1-7,,,Yes,,,,,,,,,,,,,
,7.3.10,C-3-4,C-3-4,Test Available,,Yes,,android.provider.cts.media.MediaStore_Video_ThumbnailsTest,testValues(),CtsProviderTestCases,,,,,,,,,
,7.3.10,C-4-2,C-4-2,,,Yes,,,,,,,,,,,,,
,7.3.10,C-4-3,C-4-3,,,Yes,,,,,,,,,,,,,
,7.3.10,C-5-1,C-5-1,,,Yes,,,,,,,,,,,,,
,7.3.10,C-5-2,C-5-2,,,Yes,,,,,,,,,,,,,
,7.3.10,C-6-1,C-6-1,,,Yes,,,,,,,,,,,,,
,7.3.10,C-6-2,C-6-2,Test Available,,Yes,,com.android.cts.verifier.security.UnlockedDeviceRequiredTest,MyLinkMovementMethod(),,,,,,,,,,
,7.3.13,C-1-2,C-1-2,Test Available,,Yes,,android.graphics.cts.PaintTest,testGetRunCursor_CURSOR_AT(),CtsGraphicsTestCases,,,,,,,,,
,7.3.13,C-1-3,C-1-3,,,Yes,,,,,,,,,,,,,
,7.3.4,A-3-1,A-3-1,,,Yes,,,,,,,,,,,,,
,7.3.4,A-3-2,A-3-2,,,Yes,,,,,,,,,,,,,
,7.3.6,C-2-1,C-2-1,,,Yes,,,,,,,,,,,,,
,7.4.5.2,C-4-1,C-4-1,,,Yes,,,,,,,,,,,,,
,7.4.5.3,C-1-2,C-1-2,Test Available,,Yes,,android.graphics.cts.PaintTest,testGetColorMultiply(),CtsGraphicsTestCases,,,,,,,,,
,7.4.5.3,C-1-3,C-1-3,Test Available,,Yes,,android.net.wifi.cts.WifiBackupRestoreTest,getRecord(),CtsWifiTestCases,,,,,,,,,
,7.4.5.3,C-1-4,C-1-4,Test Available,,Yes,,android.net.wifi.cts.WifiBackupRestoreTest,getRecord(),CtsWifiTestCases,,,,,,,,,
,7.4.5.3,C-1-5,C-1-5,Test Available,,Yes,,android.net.wifi.cts.WifiLocationInfoTest,testExceptionInStream(),CtsWifiTestCases,,,,,,,,,
,7.4.8,C-1-2,C-1-2,Test Available,,Yes,,android.graphics.cts.PaintTest,testGetRunCursor_CURSOR_AT(),CtsGraphicsTestCases,,,,,,,,,
,7.5.4,C-0-12,C-0-12,Test Available,,Yes,,android.view.cts.TextureViewCameraTest,testBindChildView(),CtsViewTestCases,,,,,,,,,
,7.5.4,H-1-1,H-1-1,Test Available,,Yes,,android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest,testGetDesiredWidth(),CtsCameraTestCases,,,New in Q,133786213,123773985,6923679,Camera,Camera,2
,9.1,C-2-1,C-2-1,Test Available,,Yes,,android.systemintents.cts.TestManageOverlayPermissionIntents,testAccessSelection(),CtsSystemIntentTestCases,,,,,,,,,
,9.10.,C-0-3,C-0-3,Test Available,,Yes,,android.appsecurity.cts.ApkVerityInstallTest,testAddAll(),,,,,,,,,,
,9.10.,C-0-4,C-0-4,Test Available,,Yes,,android.appsecurity.cts.ApkVerityInstallTest,testRemoveAll(),,,,,,,,,,
,9.10.,C-0-5,C-0-5,Test Available,,Yes,,android.appsecurity.cts.ApkVerityInstallTest,testAddAll(),,,,,,,,,,
,9.10.,C-1-10,C-1-10,Test Available,,Yes,,android.appsecurity.cts.ApkVerityInstallTest,testAddAll(),,,,,,,,,,
,9.10.,C-1-9,C-1-9,Test Available,,Yes,,android.graphics.cts.VulkanDeqpLevelTest,testUnpremul(),CtsGraphicsTestCases,,,,,,,,,
,9.11.3,C-0-2,C-0-2,Test Available,,Yes,,android.net.wifi.cts.ConnectedNetworkScorerTest,testEmptyByteBuffer(),CtsWifiTestCases,,,,,,,,,
,9.11.3,C-0-3,C-0-3,Test Available,,Yes,,android.security.identity.cts.HkdfTest,testPreconditions(),CtsIdentityTestCases,,,,,,,,,
,9.11.3,C-0-4,C-0-4,Test Available,,Yes,,android.net.wifi.nl80211.cts.NativeWifiClientTest,testPostProcessorInvalidReturn(),CtsWifiTestCases,,,,,,,,,
,9.16,C-1-2,C-1-2,Test Available,,Yes,,android.graphics.cts.PaintTest,Paint(),CtsGraphicsTestCases,,,,,,,,,
,9.16,C-1-3,C-1-3,,,Yes,,,,,,,,,,,,,
,9.16,C-1-4,C-1-4,Test Available,,Yes,,android.graphics.cts.PaintTest,testSet3(),CtsGraphicsTestCases,,,,,,,,,
,9.16,C-1-5,C-1-5,,,Yes,,,,,,,,,,,,,
,9.5,C-1-2,C-1-2,Test Available,,Yes,,android.graphics.cts.PaintTest,testGetRunCursor_CURSOR_AT_OR_BEFORE(),CtsGraphicsTestCases,,,,,,,,,
,9.5,C-1-3,C-1-3,Test Available,,Yes,,android.graphics.cts.RectFTest,Path(),CtsGraphicsTestCases,,,,,,,Security,Security,2
,9.8.10,C-1-2,C-1-2,Test Available,,Yes,,android.graphics.cts.PaintTest,testSetColorXYZ(),CtsGraphicsTestCases,,,,,,,,,
,9.8.10,C-1-3,C-1-3,,,Yes,,,,,,,,,,,,,
,9.8.10,C-1-4,C-1-4,Test Available,,Yes,,android.carrierapi.cts.NetworkScanApiTest,testAlphaMask(),CtsCarrierApiTestCases,,,,,,,,,
,9.8.11,C-1-2,C-1-2,Test Available,,Yes,,android.graphics.cts.PaintTest,Paint(),CtsGraphicsTestCases,,,,,,,,,
,9.9.3,C-1-14,C-1-14,,,Yes,,,,,,,,,,,,,
