"CTS Bug Id"	"Annotation?"	"module"	"full_key"	"New Req for S?"	"Area"	"Comment(internal) e.g. why a test is not possible"	"Test Availability"	"New CTS for S?"	"class_def"	"Section"	"req_id"	"method"	"section_id"	"Shortened"	"CDD Bug Id"
""	""	"CtsVoiceInteractionTestCases"	"9.8/H-1-14"	""	""	""	""	""	"android.voiceinteraction.cts.HotwordDetectionServiceDefaultMethodTest"	"2.2.5  . Security Model"	"H-1-14"	"testHotwordDetectionService_onDetect_fromMic"	"9.8"	""	""
"tbd"	""	"CtsVoiceInteractionTestCases"	"9.8/H-1-13"	""	""	"Unsure if this covers the test case. Hard to tell because though there is the ability to test shutdown and restart is this 30 min timing being tested?"	""	""	"android.voiceinteraction.cts.HotwordDetectionServiceBasicTest"	"2.2.5  . Security Model"	"H-1-13"	"testHotwordDetectionService_concurrentCapture"	"9.8"	""	""
""	""	"CtsVoiceInteractionTestCases"	"9.8/H-1-12"	""	""	"Unsure if this covers the test case. Hard to tell because don't see explicit mention of the reason for various roles, there are roles that have different permissions."	""	""	"android.voiceinteraction.cts.VoiceInteractionRoleTest"	"2.2.5  . Security Model"	"H-1-12"	"testAssistRole_hasRecognitionService"	"9.8"	""	""
""	""	"CtsVoiceInteractionTestCases"	"9.8/H-1-8"	""	""	""	"Test Available"	""	"android.voiceinteraction.cts.HotwordDetectionServiceNonExistenceTest"	"2.2.5  . Security Model"	"H-1-8"	"testHotwordDetectionService_noHotwordDetectionComponentName_triggerFailure"	"9.8"	""	""
""	""	"CtsVoiceInteractionTestCases"	"9.8/H-1-10"	""	""	"Determining if the ui has qualitative mic info could does not seem like something that can be automated"	"Test Available, Maybe Incomplete"	""	"android.voiceinteraction.cts.HotwordDetectionServiceDefaultMethodTest"	"2.2.5  . Security Model"	"H-1-10"	"testHotwordDetectionService_onDetect_fromMic"	"9.8"	""	""
""	""	"CtsVoiceInteractionTestCases"	"9.8/H-1-11"	""	""	""	"Test Available"	""	"android.voiceinteraction.cts.HotwordDetectedResultTest"	"2.2.5  . Security Model"	"H-1-11"	"testHotwordDetectedResult_bundleExceedMaxBundleSize"	"9.8"	""	""
""	""	"CtsVoiceInteractionTestCases"	"9.8/H-2-1"	""	""	""	"Test Available"	""	"android.voiceinteraction.cts.HotwordDetectionServiceBasicTest"	"2.2.5  . Security Model"	"H-2-1"	"testHotwordDetectionService_validHotwordDetectionComponentName_triggerSuccess"	"9.8"	""	""
""	""	"CtsVoiceInteractionTestCases"	"9.8/H-2-3"	""	""	""	"Test Available"	""	"android.voiceinteraction.cts.HotwordRejectedResultTest"	"2.2.5  . Security Model"	"H-2-3"	"testHotwordRejectedResultParcelizeDeparcelize"	"9.8"	""	""
""	""	"CtsVoiceInteractionTestCases"	"9.8.2/H-4-1"	""	""	""	"Test Available"	""	"android.voiceinteraction.cts.HotwordDetectionServiceBasicTest"	"2.2.5  . Security Model"	"H-4-1"	"testHotwordDetectionService_onDetectFromMic_success"	"9.8.2"	""	""
"tbd"	""	""	"9.8.2/H-4-3"	""	""	"Does this test prove the mic indicator is *always* showing when recording? Developer input could answer."	"Test Available"	""	"android.systemui.cts.audiorecorder.mediarecorder.AudioRecorderService"	"2.2.5  . Security Model"	"H-4-3"	"isRecording"	"9.8.2"	""	""
"tbd not sure"	""	""	"9.8.2/H-5-3"	""	""	"Can not find ""indicator"" what do the code call this?"	"Test missing possiblu"	""	"android.content.pm.cts.shortcut.upgrade.ShortcutManagerPreUpgradeTest"	"2.2.5  . Security Model"	"H-5-3"	"testPreUpgrade"	"9.8.2"	""	""
