Section,section_id,req_id,Test Availability,Test Availability,Annotation? ,New Req for R?,New CTS for R?,class_def,method,module,Comment(internal) e.g. why a test is not possible ,Comment (external) ,New vs Updated(Q),CTS Bug Id ,CDD Bug Id,CDD CL,Area,Shortened,Test Level,,external version,,,
3.16 Companion Device Pairing,3.16,C-1-1,Not testable,Not testable,,,,,,,"Cannot be tested standalone. CompanionTests are gated
by this flag",,,,,,Framework(API compatibility),Framework,-1,,,,,
,3.16,C-1-2,,Test Available,,,,com.android.cts.verifier.companion.CompanionDeviceTestActivity,com.android.cts.verifier.companion.CompanionDeviceTestActivity.*,CtsVerifierCompanion,,,,,,,Connectivity (Wifi / Telephony / Modem),Connectivity,2,,,,,
,3.16,C-1-3,Test Available,Test Available,,,,com.android.cts.verifier.companion.CompanionDeviceTestActivity,com.android.cts.verifier.companion.CompanionDeviceTestActivity.*,CtsVerifierCompanion,,,,,,,Connectivity (Wifi / Telephony / Modem),Connectivity,2,,,,,
,3.16,H-1-1,Test Available,Test Available,,,,com.android.cts.verifier.companion.CompanionDeviceTestActivity,public void.*,CtsVerifierCompanionDeviceTestCase,,,,,,,Connectivity (Wifi / Telephony / Modem),Connectivity,2,,,,,
3.17.HeavyWeight Apps,3.17,C-1-1,Test Available,Test Available,,,,android.app.cts.ActivityManagerProcessStateTest,testCantSaveStateLaunchAndSwitch,CtsAppTestCases,,,,,,,Framework(Activity/Window Manager),Framework,2,,,,,
,3.17,C-1-2,Test Available,Test Available,,,,android.app.cts.ActivityManagerProcessStateTest,testCantSaveStateLaunchAndSwitch,CtsAppTestCases,startActivityAndWaitForShow,,,,,,Framework(Activity/Window Manager),Framework,2,,,,,
,3.17,C-1-3,Test Available,Test Available,,,,android.app.cts.ActivityManagerProcessStateTest,testCantSaveStateLaunchAndBackground,CtsAppTestCases,,,,,,,Framework(Activity/Window Manager),Framework,2,,,,,
,3.17,C-2-1,Test Available,Test Available,,,,android.app.cts.ActivityManagerProcessStateTest,public void .*,CtsAppTestCases,,,,,,,Framework(Activity/Window Manager),Framework,2,,,,,
3.18. Contacts,3.18,C-1-1,,Test Available,Yes,Yes,None,"[('android.appsecurity.cts.ApkVerityInstallTest', 10), ('android.cts.backup.syncadaptersettingsapp.SyncAdapterSettingsTest', 2), ('com.android.cts.accountmanager.AccountManagerCrossUserTest', 2), ('android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest', 1), ('android.adbmanager.cts.AdbManagerHostDeviceTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4BluetoothTest', 1), ('android.hardware.camera2.cts.LogicalCameraDeviceTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4ProUsbTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4UsbTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4ProBluetoothTest', 1)]","[('getInstrumentation', 3), ('getUiAutomation', 2), ('setUp', 2), ('BackupUtils', 1), ('getTargetContext', 1), ('getAccount', 1), ('getContext', 1), ('tearDown', 1)]","[('CtsCameraTestCases', 2)]",./cts-11/tests/tests/contactsprovider/src/android/provider/cts/contacts/ContactsContract_RawContactsTest.java,,,,,,,,,,,,,
3.18. Contacts,3.18,C-1-2,,Test Available,Yes,Yes,None,"[('com.android.cts.accountmanager.AccountManagerCrossUserTest', 6), ('com.android.cts.devicepolicy.DeviceAndProfileOwnerTest', 3), ('android.cts.backup.syncadaptersettingsapp.SyncAdapterSettingsTest', 2), ('com.android.cts.managedprofile.ProvisioningTest', 2), ('android.hardware.camera2.cts.ExtendedCameraCharacteristicsTest', 1), ('android.adbmanager.cts.AdbManagerHostDeviceTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4BluetoothTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4ProUsbTest', 1), ('android.content.sync.cts.InvalidSyncAuthoritiesDeviceTest', 1), ('android.graphics.cts.PaintTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4UsbTest', 1), ('android.hardware.input.cts.tests.SonyDualshock4ProBluetoothTest', 1)]","[('getDevice', 21), ('setUp', 5), ('getInstrumentation', 3), ('tearDown', 3), ('getUiAutomation', 2), ('getTargetContext', 2), ('getHeight', 1), ('getWidth', 1), ('BackupUtils', 1), ('getAccount', 1), ('getContext', 1)]","[('CtsCameraTestCases', 1)]",./cts-11/tests/tests/contactsprovider/src/android/provider/cts/contacts/ContactsContract_RawContactsTest.java,,,,,,,,,,,,,
